block,plot_position,treat
X1,1,AL
X1,2,MHL
X1,3,MH
X1,4,A
X1,5,S
X1,6,C
X2,1,MH
X2,2,MHL
X2,3,C
X2,4,AL
X2,5,A
X2,6,S
X3,1,C
X3,2,MH
X3,3,A
X3,4,MHL
X3,5,AL
X3,6,S
X4,1,MHL
X4,2,S
X4,3,C
X4,4,A
X4,5,MH
X4,6,AL
X5,1,MHL
X5,2,C
X5,3,AL
X5,4,S
X5,5,A
X5,6,MH
X6,1,MH
X6,2,MHL
X6,3,AL
X6,4,C
X6,5,S
X6,6,A
X7,1,MH
X7,2,A
X7,3,C
X7,4,MHL
X7,5,AL
X7,6,S
X8,1,C
X8,2,S
X8,3,AL
X8,4,MHL
X8,5,MH
X8,6,A
X9,1,MHL
X9,2,A
X9,3,C
X9,4,S
X9,5,AL
X9,6,MH
X10,1,C
X10,2,S
X10,3,MHL
X10,4,AL
X10,5,MH
X10,6,A
X11,1,C
X11,2,MHL
X11,3,A
X11,4,S
X11,5,AL
X11,6,MH
X12,1,A
X12,2,MHL
X12,3,AL
X12,4,C
X12,5,MH
X12,6,S
X13,1,S
X13,2,A
X13,3,MHL
X13,4,MH
X13,5,AL
X13,6,C
X14,1,MH
X14,2,A
X14,3,MHL
X14,4,C
X14,5,S
X14,6,AL
X15,1,MH
X15,2,A
X15,3,C
X15,4,S
X15,5,AL
X15,6,MHL
X16,1,MH
X16,2,MHL
X16,3,C
X16,4,A
X16,5,S
X16,6,AL
